"name","pos","gp","min","wp48","pop48","wins","pts","reb","ast","to","blk","stl","pf","year","team"
"C.J. Miles","GF (3.0)","13","294",".034","-2.0","0.21","19.8","4.4","2.3","1.5","0.8","1.3","2.8",2018,"mem"
"Delon Wright","SG (2.0)","26","802",".209","3.4","3.50","18.9","8.4","8.3","2.4","0.9","2.5","3.0",2018,"mem"
"Dillon Brooks","GF (2.6)","18","330","-.114","-6.6","-0.78","19.6","4.5","2.3","2.8","0.6","1.5","7.3",2018,"mem"
"D.J. Stephens","SF (3.0)","1","7","-.079","-5.5","-0.01","13.7","0.0","0.0","6.9","0.0","6.9","0.0",2018,"mem"
"Dusty Hannahs","PG (1.0)","2","26","-.279","-11.8","-0.15","14.8","1.8","9.2","1.8","0.0","1.8","1.8",2018,"mem"
"Garrett Temple","SG (2.0)","49","1530",".044","-1.7","1.39","14.5","4.8","2.2","1.7","0.8","1.6","4.2",2018,"mem"
"Ivan Rabb","C (5.0)","49","721",".129","0.9","1.94","18.9","13.7","3.6","2.3","0.9","1.1","6.0",2018,"mem"
"JaMychal Green","PF (4.0)","41","900",".059","-1.3","1.10","21.5","13.4","1.9","3.4","1.4","1.8","6.6",2018,"mem"
"Jaren Jackson Jr.","FC (4.1)","58","1515","-.004","-3.2","-0.11","25.3","8.6","2.0","3.1","2.6","1.6","7.0",2018,"mem"
"Jevon Carter","PG (1.0)","39","577","-.038","-4.3","-0.46","14.3","5.5","5.7","2.7","0.9","2.2","4.6",2018,"mem"
"Joakim Noah","C (5.0)","42","693",".177","2.4","2.55","20.6","16.5","6.2","3.5","2.1","1.4","6.6",2018,"mem"
"Jonas Valanciunas","C (5.0)","19","527",".172","2.3","1.89","34.5","18.5","3.7","4.6","2.7","0.5","5.8",2018,"mem"
"Julian Washburn","SF (3.0)","18","254",".083","-0.5","0.44","7.6","7.7","2.6","1.3","0.4","2.5","3.0",2018,"mem"
"Justin Holiday","SF (3.0)","44","1282",".034","-2.0","0.90","15.6","5.8","2.3","2.1","0.6","2.0","3.2",2018,"mem"
"Kyle Anderson","GF (3.0)","43","1281",".211","3.5","5.63","13.0","9.4","4.8","2.2","1.4","2.0","4.2",2018,"mem"
"Marc Gasol","C (5.0)","53","1788",".072","-0.8","2.68","22.4","12.2","6.7","3.2","1.7","1.6","3.9",2018,"mem"
"MarShon Brooks","SF (3.0)","29","387","-.031","-4.0","-0.25","23.6","5.6","3.1","2.6","0.5","1.1","4.1",2018,"mem"
"Mike Conley","PG (1.0)","70","2342",".182","2.6","8.90","30.3","4.9","9.2","2.7","0.5","1.9","2.5",2018,"mem"
"Omri Casspi","F (4.0)","36","520",".101","0.0","1.09","20.9","10.6","2.4","2.1","0.8","1.8","3.2",2018,"mem"
"Shelvin Mack","PG (1.1)","53","1204",".034","-2.0","0.86","16.8","4.1","7.3","2.5","0.2","1.8","3.2",2018,"mem"
"Tyler Dorsey","PG (2.0)","21","447",".082","-0.5","0.76","22.1","7.5","4.2","1.8","0.1","0.8","3.5",2018,"mem"
"Tyler Zeller","C (5.0)","4","82",".090","-0.3","0.15","26.9","10.5","1.8","2.3","1.8","0.6","9.4",2018,"mem"
"Wayne Selden Jr.","SG (2.0)","32","455","-.048","-4.6","-0.45","18.1","4.6","3.8","2.4","0.6","1.1","5.1",2018,"mem"
"Yuta Watanabe","PF (4.0)","15","174","-.220","-9.9","-0.80","10.8","8.6","2.2","1.7","0.3","1.1","3.0",2018,"mem"
"Anthony Tolliver","F (4.0)","13","236",".051","-1.5","0.25","12.6","6.7","2.0","1.8","0.2","1.4","2.8",2019,"mem"
"Brandon Clarke","PF (4.0)","58","1300",".290","6.0","7.87","25.8","12.7","3.0","2.0","1.8","1.2","3.7",2019,"mem"
"Bruno Caboclo","F (4.0)","22","192",".049","-1.5","0.20","15.5","11.0","2.5","1.8","3.0","2.5","5.8",2019,"mem"
"De'Anthony Melton","SG (1.8)","60","1167",".149","1.6","3.62","18.7","9.0","7.2","3.5","0.8","3.2","4.5",2019,"mem"
"Dillon Brooks","SG (2.5)","73","2112","-.095","-6.0","-4.16","26.8","5.5","3.4","2.8","0.6","1.4","6.3",2019,"mem"
"Dusty Hannahs","PG (1.0)","2","13",".025","-2.3","0.01","44.3","3.7","0.0","0.0","0.0","0.0","3.7",2019,"mem"
"Gorgui Dieng","C (5.0)","17","318",".092","-0.2","0.61","18.6","14.8","2.3","2.4","2.6","2.1","5.3",2019,"mem"
"Grayson Allen","SG (2.0)","38","718",".098","-0.0","1.46","22.1","5.7","3.5","2.2","0.1","0.7","3.5",2019,"mem"
"Jae Crowder","PF (4.0)","45","1322",".069","-0.9","1.91","16.2","10.1","4.5","2.0","0.5","1.7","3.1",2019,"mem"
"Ja Morant","PG (1.0)","67","2074",".115","0.5","4.96","27.6","6.0","11.3","5.1","0.4","1.3","2.5",2019,"mem"
"Jaren Jackson Jr.","PF (4.8)","57","1622","-.086","-5.8","-2.91","29.3","7.8","2.3","2.9","2.7","1.2","6.9",2019,"mem"
"Jarrod Uthoff","PF (4.0)","4","14","-.480","-18.0","-0.14","13.7","3.4","0.0","0.0","0.0","3.4","3.4",2019,"mem"
"John Konchar","SG (2.0)","19","181",".472","11.6","1.78","14.3","12.5","5.8","1.9","0.8","1.9","1.9",2019,"mem"
"Jonas Valanciunas","C (5.0)","70","1845",".219","3.7","8.43","27.2","20.5","3.4","3.3","2.0","0.8","4.8",2019,"mem"
"Jordan Bell","FC (5.0)","2","21","-.093","-6.0","-0.04","22.9","6.9","4.6","6.9","0.0","2.3","4.6",2019,"mem"
"Josh Jackson","SF (3.0)","22","381",".057","-1.3","0.45","24.9","8.3","4.4","3.5","1.1","2.3","5.0",2019,"mem"
"Kyle Anderson","SF (3.1)","67","1330",".183","2.6","5.06","14.1","10.3","5.8","2.4","1.3","1.9","4.0",2019,"mem"
"Marko Guduric","SG (2.0)","44","484",".037","-1.9","0.37","17.2","7.2","4.5","3.6","0.8","1.2","3.4",2019,"mem"
"Solomon Hill","GF (3.0)","48","901",".109","0.3","2.05","14.6","7.7","5.0","2.1","0.4","1.7","3.9",2019,"mem"
"Tyus Jones","PG (1.0)","65","1232",".176","2.4","4.52","18.9","4.0","11.1","2.1","0.2","2.3","1.7",2019,"mem"
"Yuta Watanabe","GF (3.0)","18","105",".092","-0.2","0.20","16.5","9.1","2.3","0.9","0.5","2.3","4.1",2019,"mem"
"Jonas Valanciunas","C (5.0)","62","1755",".261","5.0","9.55","28.9","21.2","3.1","2.7","1.6","0.9","4.9",2020,"mem"
"Brandon Clarke","PF (3.8)","59","1415",".214","3.6","6.31","20.7","11.1","3.2","1.1","1.7","2.1","2.8",2020,"mem"
"Kyle Anderson","PF (4.5)","69","1887",".121","0.7","4.74","21.7","10.1","6.4","2.2","1.4","2.1","3.1",2020,"mem"
"Tyus Jones","PG (1.1)","70","1222",".170","2.2","4.32","17.4","5.5","10.2","1.9","0.2","2.5","1.2",2020,"mem"
"Xavier Tillman Sr.","PF (4.0)","59","1085",".166","2.1","3.75","17.3","11.3","3.3","2.0","1.5","1.9","5.1",2020,"mem"
"De'Anthony Melton","PG (1.9)","52","1045",".165","2.0","3.59","21.7","7.4","6.1","3.0","1.4","2.7","3.9",2020,"mem"
"Desmond Bane","SG (2.5)","68","1519",".104","0.2","3.29","19.8","6.6","3.7","1.9","0.5","1.4","4.0",2020,"mem"
"John Konchar","SG (2.0)","43","575",".271","5.4","3.25","15.4","10.7","3.9","1.5","0.8","2.5","3.3",2020,"mem"
"Grayson Allen","SG (2.0)","50","1259",".119","0.6","3.13","20.3","6.1","4.1","1.8","0.3","1.8","2.7",2020,"mem"
"Ja Morant","PG (1.0)","63","2053",".067","-1.0","2.86","28.2","5.9","10.9","4.7","0.3","1.3","2.0",2020,"mem"
"Gorgui Dieng","C (5.0)","22","371",".149","1.5","1.15","22.4","12.7","3.7","2.8","1.8","2.2","4.9",2020,"mem"
"Sean McDermott","SF (2.9)","18","158",".009","-2.8","0.03","11.9","5.8","1.2","1.2","0.9","0.6","2.4",2020,"mem"
"Jontay Porter","PF (4.7)","11","54","-.103","-6.3","-0.12","19.6","12.4","0.9","6.2","0.9","2.7","10.7",2020,"mem"
"Tim Frazier","PG (1.0)","5","62","-.269","-11.4","-0.35","6.2","6.2","12.4","3.1","0.8","1.5","5.4",2020,"mem"
"Jaren Jackson Jr.","C (5.0)","11","258","-.088","-5.8","-0.47","29.3","11.5","2.2","2.8","3.3","2.2","7.8",2020,"mem"
"Killian Tillie","C (4.9)","18","182","-.187","-8.9","-0.71","15.1","6.3","2.1","0.5","2.1","1.3","5.3",2020,"mem"
"Justise Winslow","SF (3.4)","26","507","-.125","-7.0","-1.32","16.8","11.2","4.7","3.5","1.0","1.4","4.4",2020,"mem"
"Dillon Brooks","SF (3.0)","67","1997","-.114","-6.6","-4.73","27.7","4.7","3.8","2.9","0.6","1.9","5.7",2020,"mem"
"Anthony Mason","PF (3.5)","82","3133",".203","3.2","13.22","14.5","10.7","5.6","2.5","0.4","1.1","3.4",1999,"nor"
"Baron Davis","PG (1.0)","82","1523",".083","-0.5","2.63","15.3","5.2","9.7","4.4","0.6","3.1","6.3",1999,"nor"
"Bobby Phills","GF (2.0)","28","825",".062","-1.1","1.07","22.2","4.1","4.6","2.8","0.5","2.4","4.2",1999,"nor"
"Brad Miller","C (5.0)","55","961",".221","3.8","4.43","21.1","14.6","2.2","2.4","1.7","1.1","5.5",1999,"nor"
"Chucky Brown","F (3.0)","33","494",".046","-1.7","0.47","14.0","8.7","2.4","1.7","0.8","1.2","5.9",1999,"nor"
"Dale Ellis","GF (2.5)","24","240","-.032","-4.1","-0.16","11.0","4.4","1.6","2.6","0.0","1.4","4.4",1999,"nor"
"David Wesley","SG (1.1)","82","2760",".103","0.1","5.95","19.4","3.9","8.1","2.8","0.2","1.9","3.2",1999,"nor"
"Derek Hood","SF (3.0)","2","4","-1.133","-38.3","-0.09","0.0","12.0","0.0","0.0","0.0","0.0","0.0",1999,"nor"
"Derrick Coleman","FC (4.1)","74","2347",".100","0.0","4.90","25.3","12.9","3.6","3.5","2.7","0.7","4.0",1999,"nor"
"Eddie Jones","GF (2.2)","72","2807",".213","3.6","12.47","24.7","5.9","5.2","2.7","0.8","3.3","3.0",1999,"nor"
"Eddie Robinson","SF (3.0)","67","1112",".215","3.6","4.98","20.3","7.9","1.4","1.7","1.1","2.1","2.9",1999,"nor"
"Elden Campbell","C (5.0)","78","2538",".069","-0.9","3.66","18.7","11.2","2.4","2.4","2.8","1.1","5.1",1999,"nor"
"Eldridge Recasner","G (1.0)","7","28",".184","2.7","0.11","12.0","6.9","8.6","0.0","0.0","0.0","1.7",1999,"nor"
"Jason Miskiri","PG (1.0)","1","3","-.782","-27.4","-0.05","0.0","0.0","16.0","0.0","0.0","0.0","32.0",1999,"nor"
"Michael Hawkins","SG (1.0)","12","36","-.075","-5.4","-0.06","10.7","9.3","17.3","4.0","0.0","0.0","2.7",1999,"nor"
"Ricky Davis","GF (2.5)","48","570",".165","2.0","1.96","19.1","7.0","5.2","3.9","0.7","2.5","3.3",1999,"nor"
"Todd Fuller","FC (4.5)","41","399","-.008","-3.3","-0.06","16.1","13.2","0.6","3.2","1.0","1.1","5.5",1999,"nor"
"Baron Davis","PG (1.0)","82","3192",".172","2.3","11.42","17.0","6.1","9.0","3.4","0.5","2.6","4.0",2000,"nor"
"David Wesley","SG (1.9)","82","3106",".048","-1.6","3.13","21.9","3.5","5.6","2.6","0.2","2.0","3.4",2000,"nor"
"Derrick Coleman","FC (4.0)","34","683",".024","-2.3","0.35","19.5","12.9","2.7","3.0","1.5","0.7","3.7",2000,"nor"
"Doug Overton","PG (1.0)","2","15","-.103","-6.3","-0.03","12.8","0.0","0.0","9.6","0.0","3.2","6.4",2000,"nor"
"Eddie Robinson","SF (2.6)","67","1201",".217","3.7","5.44","19.9","7.9","2.4","1.7","1.3","2.0","2.6",2000,"nor"
"Elden Campbell","C (5.0)","78","2337",".067","-1.0","3.26","21.0","12.5","2.1","3.0","2.9","1.2","5.8",2000,"nor"
"Eldridge Recasner","G (1.0)","43","403","-.058","-4.9","-0.49","12.3","6.0","4.6","3.2","0.1","0.7","3.6",2000,"nor"
"Hersey Hawkins","SG (2.0)","59","681",".215","3.6","3.06","12.9","5.6","5.1","1.3","0.6","2.3","3.2",2000,"nor"
"Jamaal Magloire","C (5.0)","74","1095",".121","0.7","2.76","14.9","12.9","1.2","2.7","3.4","0.8","6.1",2000,"nor"
"Jamal Mashburn","SF (3.0)","76","2989",".075","-0.8","4.66","24.5","9.2","6.6","3.4","0.2","1.4","3.0",2000,"nor"
"Lee Nailon","F (3.6)","42","469",".047","-1.6","0.46","16.8","9.4","2.5","2.8","0.5","0.9","6.1",2000,"nor"
"Otis Thorpe","FC (4.0)","49","647",".018","-2.5","0.24","10.2","10.8","2.2","2.4","0.5","0.9","8.0",2000,"nor"
"P.J. Brown","FC (4.2)","80","2811",".179","2.5","10.46","11.5","12.7","2.2","1.8","1.6","1.3","4.4",2000,"nor"
"Scott Burrell","SF (2.0)","4","41",".027","-2.2","0.02","19.9","3.5","1.2","0.0","0.0","3.5","9.4",2000,"nor"
"Terrance Roberson","SF (2.0)","3","13","-.532","-19.6","-0.14","0.0","3.7","3.7","7.4","0.0","0.0","11.1",2000,"nor"
"Tim James","F (3.5)","30","197","-.062","-5.0","-0.25","11.0","8.5","1.9","1.9","1.2","0.5","6.6",2000,"nor"
"Baron Davis","PG (1.0)","82","3319",".139","1.2","9.61","21.5","5.0","10.1","3.6","0.7","2.5","3.5",2001,"nor"
"Bryce Drew","PG (1.0)","61","774",".142","1.3","2.29","13.0","4.5","6.3","2.0","0.1","2.0","3.0",2001,"nor"
"David Wesley","SG (2.0)","67","2487","-.004","-3.2","-0.22","18.4","2.8","4.6","2.3","0.3","1.4","2.8",2001,"nor"
"Elden Campbell","C (5.0)","77","2155",".133","1.1","5.96","23.9","11.8","2.3","3.1","3.1","1.3","5.9",2001,"nor"
"Eldridge Recasner","G (2.0)","1","2","-.312","-12.8","-0.01","0.0","0.0","0.0","0.0","0.0","0.0","24.0",2001,"nor"
"George Lynch","SF (3.0)","45","892",".134","1.1","2.49","9.3","10.0","2.9","2.2","0.8","2.2","4.0",2001,"nor"
"Jamaal Magloire","C (5.0)","82","1549",".220","3.7","7.08","21.7","14.3","1.0","3.7","2.7","0.8","6.2",2001,"nor"
"Jamal Mashburn","SF (3.0)","40","1601",".045","-1.7","1.49","25.7","7.3","5.1","3.3","0.2","1.3","2.4",2001,"nor"
"Jerome Moiso","PF (4.0)","15","76","-.034","-4.1","-0.05","10.1","15.8","2.5","5.1","1.3","1.9","7.6",2001,"nor"
"Kirk Haston","SF (3.0)","15","77","-.252","-10.9","-0.40","16.2","12.5","3.1","1.9","0.6","0.0","5.6",2001,"nor"
"Lee Nailon","F (3.5)","79","1911",".033","-2.1","1.29","21.4","7.3","2.4","2.4","0.4","1.5","4.4",2001,"nor"
"Matt Bullard","F (3.0)","31","350","-.046","-4.5","-0.34","14.4","6.4","2.2","1.6","0.3","0.3","4.0",2001,"nor"
"P.J. Brown","FC (4.1)","80","2563",".245","4.5","13.07","12.5","14.7","2.0","1.6","1.5","1.1","4.2",2001,"nor"
"Robert Traylor","FC (4.0)","61","679",".062","-1.1","0.88","16.1","13.2","2.6","3.2","2.6","1.7","9.0",2001,"nor"
"Stacey Augmon","GF (2.0)","77","1320",".135","1.1","3.72","13.0","8.2","3.7","2.0","0.4","2.0","4.2",2001,"nor"
"Baron Davis","PG (1.0)","50","1889",".079","-0.6","3.09","21.8","4.7","8.1","3.6","0.6","2.3","3.8",2002,"nor"
"Bryce Drew","PG (1.0)","13","79",".025","-2.3","0.04","11.5","7.9","6.7","1.8","0.0","1.2","1.2",2002,"nor"
"Courtney Alexander","SG (2.0)","66","1360","-.073","-5.3","-2.06","18.5","4.2","2.8","2.4","0.2","1.1","4.4",2002,"nor"
"David Wesley","SG (1.6)","73","2710",".069","-0.9","3.90","21.6","3.1","4.4","2.3","0.2","1.9","3.1",2002,"nor"
"Elden Campbell","C (5.0)","41","685",".002","-3.0","0.02","20.7","10.0","2.9","2.9","2.2","1.7","7.1",2002,"nor"
"George Lynch","SF (2.9)","81","1497",".229","4.0","7.14","11.6","11.3","3.3","1.7","0.6","2.1","4.4",2002,"nor"
"Jamaal Magloire","C (5.0)","82","2443",".160","1.9","8.12","16.5","14.2","1.7","3.1","2.2","1.0","5.4",2002,"nor"
"Jamal Mashburn","SF (3.2)","82","3321",".054","-1.4","3.76","25.6","7.2","6.7","3.3","0.2","1.2","2.8",2002,"nor"
"Jerome Moiso","PF (4.0)","51","644",".149","1.6","2.00","15.3","13.3","1.6","3.4","3.3","1.4","6.5",2002,"nor"
"Kenny Anderson","PG (1.0)","23","446","-.036","-4.2","-0.33","15.0","4.8","8.3","4.5","0.4","1.9","4.6",2002,"nor"
"Kirk Haston","SF (4.0)","12","57","-.568","-20.8","-0.67","5.1","5.9","2.5","5.9","4.2","0.0","8.4",2002,"nor"
"P.J. Brown","FC (4.3)","78","2609",".253","4.8","13.75","15.3","12.9","2.7","1.8","1.5","1.2","3.7",2002,"nor"
"Randy Livingston","PG (1.0)","2","12",".149","1.6","0.04","24.0","0.0","4.0","0.0","0.0","0.0","0.0",2002,"nor"
"Robert Pack","PG (1.0)","28","440",".065","-1.1","0.60","15.8","5.6","8.8","4.4","0.0","2.7","3.8",2002,"nor"
"Robert Traylor","FC (4.0)","69","851",".161","1.9","2.85","15.1","14.8","2.8","3.0","2.1","2.5","8.6",2002,"nor"
"Stacey Augmon","GF (2.0)","70","862",".079","-0.6","1.42","11.8","6.6","3.8","2.2","0.5","1.5","4.5",2002,"nor"
"Baron Davis","PG (1.5)","67","2686",".084","-0.5","4.70","27.4","5.1","9.0","3.8","0.5","2.8","3.2",2003,"nor"
"Bryce Drew","PG (1.0)","15","78","-.078","-5.5","-0.13","7.4","3.7","8.0","4.9","0.0","2.5","0.6",2003,"nor"
"Darrell Armstrong","PG (1.0)","79","2247",".141","1.3","6.58","17.9","4.8","6.6","3.3","0.3","2.8","3.2",2003,"nor"
"David Wesley","SG (2.0)","61","2001","-.019","-3.7","-0.81","20.4","3.2","4.2","2.4","0.3","1.7","3.5",2003,"nor"
"David West","PF (4.0)","71","930",".215","3.6","4.17","14.1","15.3","3.1","2.5","1.4","1.4","6.0",2003,"nor"
"George Lynch","SF (3.0)","78","1701",".133","1.1","4.71","10.6","8.8","3.3","1.8","0.5","1.4","4.5",2003,"nor"
"Jamaal Magloire","C (5.0)","82","2777",".137","1.2","7.92","19.3","14.6","1.5","3.5","1.7","0.7","4.8",2003,"nor"
"Jamal Mashburn","SF (3.3)","19","730","-.093","-6.0","-1.41","26.0","7.7","3.1","2.4","0.3","0.9","2.8",2003,"nor"
"Maurice Carter","G (2.0)","6","60","-.152","-7.8","-0.19","16.0","6.4","1.6","2.4","0.0","0.0","4.0",2003,"nor"
"P.J. Brown","FC (4.3)","80","2753",".177","2.4","10.17","14.6","12.0","2.7","1.8","1.3","1.4","3.5",2003,"nor"
"Robert Traylor","FC (4.0)","71","942",".131","1.0","2.57","18.4","13.4","2.2","3.2","1.9","2.0","8.2",2003,"nor"
"Sean Rooks","C (5.0)","35","325","-.161","-8.1","-1.09","11.8","7.4","1.6","2.2","0.7","1.3","7.1",2003,"nor"
"Shammond Williams","PG (1.0)","16","238","-.035","-4.2","-0.17","14.5","3.4","10.5","4.2","0.2","2.8","4.4",2003,"nor"
"Stacey Augmon","GF (3.0)","69","1416",".064","-1.1","1.89","13.5","5.9","2.9","2.6","0.5","1.9","3.9",2003,"nor"
"Steve Smith","SG (2.3)","71","929",".035","-2.0","0.68","18.5","4.2","2.9","2.2","0.3","0.8","4.7",2003,"nor"
"Tierre Brown","PG (1.0)","3","17","-.581","-21.1","-0.21","16.9","2.8","5.6","19.8","0.0","0.0","2.8",2003,"nor"
"Alex Garcia","SG (2.0)","8","146","-.035","-4.2","-0.11","14.5","4.9","5.9","2.6","0.3","1.3","4.9",2004,"nor"
"Baron Davis","PG (1.0)","18","593",".114","0.5","1.41","27.5","5.4","10.4","3.1","0.3","2.5","4.2",2004,"nor"
"Bostjan Nachbar","SF (3.0)","55","1137",".037","-1.9","0.88","18.8","6.4","2.7","2.9","0.7","1.2","6.5",2004,"nor"
"Casey Jacobsen","GF (2.0)","44","1030",".118","0.6","2.54","15.6","4.7","3.5","2.1","0.3","1.0","2.2",2004,"nor"
"Chris Andersen","FC (4.5)","67","1430",".244","4.5","7.26","17.2","13.8","2.4","2.1","3.4","0.5","4.8",2004,"nor"
"Corsley Edwards","F (3.5)","10","110",".016","-2.6","0.04","11.8","10.9","1.3","0.9","1.7","1.3","8.3",2004,"nor"
"Dan Dickau","PG (1.0)","67","2074",".087","-0.4","3.77","20.4","4.1","8.0","3.3","0.1","1.8","4.6",2004,"nor"
"Darrell Armstrong","PG (1.0)","14","412",".005","-2.9","0.04","16.5","5.6","7.6","3.3","0.2","1.7","3.5",2004,"nor"
"David Wesley","SG (2.0)","26","934",".030","-2.2","0.58","18.6","4.4","5.6","2.8","0.1","1.8","3.3",2004,"nor"
"David West","PF (4.0)","30","552",".002","-3.0","0.03","16.2","11.2","2.0","3.2","1.4","1.0","5.4",2004,"nor"
"George Lynch","SF (3.0)","44","933",".118","0.6","2.29","8.4","9.0","4.5","2.9","0.6","1.6","4.3",2004,"nor"
"Jackson Vroman","FC (4.5)","36","648","-.015","-3.5","-0.20","14.5","12.0","2.4","4.2","1.3","1.6","7.0",2004,"nor"
"Jamaal Magloire","C (5.0)","23","703",".036","-2.0","0.53","18.4","14.0","2.0","4.0","1.6","0.5","5.1",2004,"nor"
"J.R. Smith","GF (2.0)","76","1859","-.028","-3.9","-1.07","20.2","3.9","3.7","2.8","0.3","1.4","3.5",2004,"nor"
"Junior Harrington","PG (1.0)","29","550","-.050","-4.6","-0.57","14.2","5.5","5.4","3.6","0.4","2.2","6.3",2004,"nor"
"Lee Nailon","F (3.5)","68","2017",".004","-3.0","0.16","22.9","7.1","2.6","2.6","0.4","0.9","4.5",2004,"nor"
"Lonny Baxter","PF (4.0)","4","36","-.488","-18.3","-0.37","8.0","10.7","0.0","5.3","0.0","0.0","13.3",2004,"nor"
"Maciej Lampe","F (3.5)","21","261","-.009","-3.4","-0.05","13.1","10.5","1.8","1.3","0.9","0.7","5.7",2004,"nor"
"Matt Freije","F (3.5)","23","441","-.101","-6.2","-0.92","10.1","6.6","2.2","1.9","0.2","1.4","4.4",2004,"nor"
"P.J. Brown","FC (4.8)","82","2817",".164","2.0","9.64","15.1","12.6","3.0","1.7","0.9","1.3","4.0",2004,"nor"
"Rodney Rogers","F (3.4)","30","882","-.079","-5.5","-1.45","15.0","7.7","3.3","3.6","0.7","1.0","5.6",2004,"nor"
"Speedy Claxton","PG (1.0)","16","365",".077","-0.7","0.58","14.2","4.1","11.6","3.6","0.3","2.9","3.9",2004,"nor"
"Aaron Williams","FC (4.5)","34","692",".095","-0.1","1.37","13.7","11.5","1.1","1.7","1.2","0.9","7.6",2005,"nor"
"Arvydas Macijauskas","G (2.0)","19","102","-.066","-5.1","-0.14","20.7","4.7","2.4","3.8","0.0","3.3","4.7",2005,"nor"
"Bostjan Nachbar","SF (3.9)","25","396","-.138","-7.4","-1.13","15.3","5.9","2.7","2.4","0.6","1.6","6.3",2005,"nor"
"Brandon Bass","PF (4.0)","29","261",".026","-2.3","0.14","12.5","12.5","0.6","2.0","1.3","0.6","3.3",2005,"nor"
"Chris Andersen","FC (4.5)","32","542",".190","2.8","2.14","14.3","13.7","0.5","2.3","3.6","0.7","7.4",2005,"nor"
"Chris Paul","PG (1.3)","78","2677",".269","5.3","15.01","22.6","7.2","11.0","3.3","0.1","3.1","3.9",2005,"nor"
"David West","PF (4.0)","74","2345",".125","0.8","6.09","25.8","11.2","1.9","2.1","1.3","1.2","4.4",2005,"nor"
"Desmond Mason","GF (2.7)","70","1930","-.034","-4.1","-1.36","18.8","7.4","1.6","2.8","0.4","1.0","3.4",2005,"nor"
"Jackson Vroman","FC (4.8)","41","374","-.029","-4.0","-0.23","9.4","11.1","1.4","2.7","1.4","1.5","10.0",2005,"nor"
"J.R. Smith","GF (2.5)","55","931",".025","-2.3","0.49","21.8","5.7","3.0","2.8","0.2","1.9","4.6",2005,"nor"
"Kirk Snyder","GF (2.5)","68","1190",".103","0.1","2.56","21.9","6.5","4.1","2.8","0.9","1.2","4.3",2005,"nor"
"Linton Johnson","SF (3.0)","27","489",".118","0.6","1.21","13.9","11.3","1.2","2.4","1.2","1.0","5.3",2005,"nor"
"Maciej Lampe","F (4.0)","2","15","-.354","-14.1","-0.11","0.0","12.4","6.2","3.1","0.0","0.0","6.2",2005,"nor"
"Marc Jackson","FC (5.0)","27","594",".019","-2.5","0.24","19.8","10.3","1.8","3.0","0.2","0.6","4.5",2005,"nor"
"Marcus Fizer","F (4.0)","3","39","-.055","-4.8","-0.04","24.6","8.6","1.2","2.5","0.0","0.0","6.2",2005,"nor"
"Moochie Norris","PG (2.0)","16","183",".004","-2.9","0.02","15.8","5.3","5.5","4.5","0.0","1.6","4.7",2005,"nor"
"P.J. Brown","FC (5.0)","75","2207",".110","0.4","5.08","14.7","11.9","2.0","2.0","1.1","1.0","4.7",2005,"nor"
"Rasual Butler","GF (2.5)","79","1772",".034","-2.0","1.24","18.6","6.3","1.1","1.8","1.2","0.9","3.8",2005,"nor"
"Speedy Claxton","PG (1.0)","71","1863",".070","-0.9","2.73","22.4","5.0","8.7","4.0","0.2","2.8","4.6",2005,"nor"
"Bobby Jackson","PG (2.0)","56","1329",".061","-1.2","1.69","21.4","6.4","5.1","2.8","0.2","1.8","3.5",2006,"nor"
"Brandon Bass","PF (4.0)","21","161","-.067","-5.2","-0.23","12.5","12.8","0.9","3.0","0.9","0.6","4.8",2006,"nor"
"Cedric Simmons","FC (4.5)","43","534","-.051","-4.6","-0.56","11.3","9.6","1.1","2.0","2.1","0.7","6.7",2006,"nor"
"Chris Paul","PG (1.0)","64","2317",".228","4.0","11.01","22.9","5.8","11.8","3.3","0.1","2.4","3.2",2006,"nor"
"David West","PF (4.0)","52","1861",".069","-0.9","2.68","24.5","10.9","2.9","2.5","1.0","1.1","3.7",2006,"nor"
"Desmond Mason","GF (2.8)","75","2488","-.020","-3.7","-1.06","19.8","6.7","2.2","3.7","0.4","1.0","3.4",2006,"nor"
"Devin Brown","GF (2.5)","58","1601",".105","0.2","3.51","20.1","7.5","4.5","2.7","0.3","1.3","4.2",2006,"nor"
"Hilton Armstrong","FC (4.5)","56","611",".101","0.1","1.29","13.8","11.7","0.8","2.7","2.0","0.9","6.2",2006,"nor"
"Jannero Pargo","PG (1.1)","82","1659",".008","-2.8","0.29","21.7","5.2","5.9","3.5","0.1","1.5","3.5",2006,"nor"
"Linton Johnson","SF (4.0)","54","699",".106","0.2","1.55","15.5","11.2","1.2","1.9","1.2","2.3","6.9",2006,"nor"
"Marc Jackson","FC (4.9)","56","990","-.087","-5.8","-1.78","19.8","9.3","2.8","3.2","0.3","1.0","4.3",2006,"nor"
"Marcus Vinicius","F (4.0)","13","103","-.036","-4.2","-0.08","10.2","5.1","2.3","2.8","0.5","0.9","4.6",2006,"nor"
"Peja Stojakovic","GF (3.8)","13","425","-.035","-4.2","-0.31","26.1","6.1","1.2","2.1","0.5","0.9","3.3",2006,"nor"
"Rasual Butler","GF (2.5)","81","2142",".016","-2.6","0.72","18.3","5.7","1.4","1.5","1.2","0.9","3.3",2006,"nor"
"Tyson Chandler","C (5.0)","73","2451",".293","6.0","14.97","13.5","17.7","1.3","2.5","2.5","0.7","4.8",2006,"nor"
